stadium,teams,icao_station,station_name,mappable,notes
Levi's Stadium,SF,KSJC,San Jose Mineta Intl,true,Domestic; Santa Clara sits closer to San Jose than SFO
Lincoln Financial Field,PHI,KPHL,Philadelphia Intl,true,Domestic
Lucas Oil Stadium,IND,KIND,Indianapolis Intl,true,Domestic; indoor dome
Lumen Field,SEA,KSEA,Seattle-Tacoma Intl,true,Same physical stadium as CenturyLink Field (renamed 2020)
M&T Bank Stadium,BAL,KBWI,Baltimore/Washington Intl,true,Domestic
Maracana Stadium,PHI (int'l host),,,false,"International (Rio de Janeiro, Brazil); no GFS MOS coverage"
Melbourne Cricket Ground,LA (int'l host),,,false,"International (Melbourne, Australia); no GFS MOS coverage"
Mercedes-Benz Stadium,ATL,KATL,Hartsfield-Jackson Atlanta Intl,true,Domestic; indoor/retractable roof
Mercedes-Benz Superdome,NO,KMSY,Louis Armstrong New Orleans Intl,true,Same physical stadium as Caesars Superdome (renamed 2021); indoor dome
MetLife Stadium,NYG/NYJ,KEWR,Newark Liberty Intl,true,Domestic; shared by both New York teams
NRG Stadium,HOU,KHOU,William P. Hobby (Houston),true,Domestic; retractable roof; KHOU (Hobby) is closer to NRG than KIAH (Bush Intercontinental)
New Era Field,BUF,KBUF,Buffalo Niagara Intl,true,Same physical stadium as Highmark Stadium (renamed 2021)
Nissan Stadium,TEN,KBNA,Nashville Intl,true,Domestic
Northwest Stadium,WAS,KDCA,Ronald Reagan Washington National,true,Same physical stadium as FedExField (renamed 2025)
O.co Coliseum,"OAK (historic, pre-2020 relocation)",KOAK,Oakland Intl,true,"Historic Oakland Raiders stadium under a since-retired sponsor name; not in the 2020-2025 ingestion window, included for completeness"
Oakland-Alameda County Coliseum,"OAK (historic, pre-2020 relocation)",KOAK,Oakland Intl,true,"Historic Oakland Raiders stadium (original name); not in the 2020-2025 ingestion window, included for completeness"
Paul Brown Stadium,CIN,KCVG,Cincinnati/N. Kentucky Intl,true,"Same physical stadium as Paycor Stadium (renamed 2022); KLUK (Lunken, downtown) is a closer-but-smaller alternative"
Paycor Stadium,CIN,KCVG,Cincinnati/N. Kentucky Intl,true,Same physical stadium as Paul Brown Stadium (renamed 2022)
Qualcomm Stadium,"SD (historic, pre-2017 relocation)",KSAN,San Diego Intl,true,"Historic San Diego Chargers stadium; not in the 2020-2025 ingestion window, included for completeness"
Raymond James Stadium,TB,KTPA,Tampa Intl,true,Domestic
Reliant Stadium,HOU,KHOU,William P. Hobby (Houston),true,Same physical stadium as NRG Stadium (renamed 2014); appears in schedules for older seasons
Ring Central Coliseum,"OAK (historic, pre-2020 relocation)",KOAK,Oakland Intl,true,"Historic Oakland Raiders stadium under a since-retired sponsor name; not in the 2020-2025 ingestion window, included for completeness"
SoFi Stadium,LA/LAC,KLAX,Los Angeles Intl,true,Domestic; shared by both LA teams
Soldier Field,CHI,KMDW,Chicago Midway Intl,true,Domestic; KMDW chosen over KORD (O'Hare) as closer to the lakefront stadium
Stade de France,NO (int'l host),,,false,"International (Paris/Saint-Denis, France); no GFS MOS coverage"
State Farm Stadium,ARI,KPHX,Phoenix Sky Harbor Intl,true,Domestic; retractable roof; also hosted a neutral-site SF game (same physical stadium)
TIAA Bank Stadium,JAX,KJAX,Jacksonville Intl,true,"Same physical stadium as EverBank Stadium (renamed 2024); also hosted a NO hurricane-relocation neutral-site game (same physical venue, still KJAX)"
Tottenham Hotspur Stadium,JAX/WAS (int'l host),,,false,"International (London, UK); no GFS MOS coverage (measured: EGLL query returned zero rows; this network is confirmed US-domestic-only)"
Tottenham Stadium,ATL/BUF/CHI/GB/JAX/MIN/NO/TEN (int'l host),,,false,"International (London, UK); same physical venue as Tottenham Hotspur Stadium under an earlier schedules-feed label; no GFS MOS coverage"
U.S. Bank Stadium,MIN,KMSP,Minneapolis-St Paul Intl,true,Domestic; indoor dome
Wembley Stadium,"JAX (int'l host, multiple franchises historically)",,,false,"International (London, UK); no GFS MOS coverage (measured: EGLL query returned zero rows)"
