season_effective,category,event,mechanism_touched,expected_signal_families,source_url,notes
2018,market_structure,"Murphy v. NCAA: U.S. Supreme Court strikes down PASPA, ending the federal ban on state-level sports betting","Opens the door to state-by-state legal sportsbooks; market liquidity, number of books, and bettor access grow over subsequent years rather than changing on a single date",market_structure,https://www.supremecourt.gov/opinions/17pdf/16-476_dbfi.pdf,"Decided 2018-05-14. Delaware and New Jersey took the first legal bets outside Nevada within weeks; the national rollout was gradual and state-by-state through the following several years, not a single-season jump."
2018,player_safety,"""Use of helmet"" rule: 15-yard penalty and possible ejection for any player who lowers his head to initiate and make contact with the helmet, anywhere on the field","Broadens the old crown-of-the-helmet rule from ball carriers only to all players (tacklers, blockers, linemen); changes tackling/blocking technique incentives",penalties; coach fade,https://www.espn.com/nfl/story/_/id/22935229/nfl-institutes-rule-lowering-head-initiate-contact-helmet,"Reported: nearly 1-in-2 helmet-to-helmet hits caused a concussion in 2017 per NFL research, up from 1-in-3 in 2015 (unverified primary data)."
2018,player_safety,"Roughing-the-passer ""body weight"" rider tightened by a single conjunction change (""and"" landing on the QB with weight -> ""or"")","Broadens what counts as an illegal takedown of the QB; produced a sharp, controversial spike in RTP flags in September 2018",penalties; QB availability,https://www.si.com/nfl/2018/09/27/nfl-statement-roughing-passer-flag-body-weight-rule-no-changes,"In-season point-of-emphasis on a rule dating to 1995, not a new rule; NFL Competition Committee explicitly declined to walk it back after a Sept 27, 2018 call."
2018,replay_review,"Catch rule simplified: dropped the ""going to the ground"" element; a catch now needs control, two feet (or another body part) down, and a ""football move""",Fewer overturned near-sideline/near-ground receptions; specifically designed to reverse outcomes like the 2014-playoff Dez Bryant non-catch,"penalties (indirect, via reversed-call rates); coach fade",https://www.espn.com/blog/nflnation/post/_/id/272769/guide-to-nfls-new-rules-what-to-know-about-approved-tabled-and-rejected-proposals,Approved 32-0 by owners.
2019,replay_review,"Offensive and defensive pass interference, including non-calls, made reviewable",Adds PI (a judgment penalty) to the replay-reviewable list for the first time in league history,penalties,https://www.nfl.com/news/owners-make-pass-interference-non-calls-reviewable-0ap3000001024371,Passed 31-1 (Cincinnati dissenting) in direct reaction to the missed DPI no-call in the January 2019 NFC Championship Game. Explicitly a one-season rule; not renewed for 2020.
2020,covid,"COVID-19 season: zero preseason games, a fully virtual offseason program, and no or sharply limited crowds at most stadiums for most of the season","Removes home-crowd noise/travel-fatigue advantage for much of the season; cuts practice-field reps ahead of Week 1, especially for rookies and new starters",home advantage; QB availability; rest,https://www.espn.com/nfl/story/_/id/29823418/15-nfl-coronavirus-protocols-need-know-no-more-mascots-jersey-swaps-cheerleaders,"Attendance policy varied team-by-team and week-by-week by local public-health rules; this was not a clean 32-team binary and Task B should measure it, not assume full-season zero attendance league-wide."
2020,playoff_structure,"Playoff field expands from 12 to 14 teams (7 seeds per conference), adding a Wild Card game","Changes end-of-season seeding incentives; more teams have something to play for in Weeks 16-18, fewer full-scale Week 17/18 tank/rest spots for the old 5th/6th seed bubble",coach fade; rest,https://www.nfl.com/news/new-cba-includes-playoff-expansion-to-14-teams-0ap3000001106259,"Part of the 2020 CBA package, first used for the 2020-21 postseason."
2020,roster_cba,"2020 CBA ratified: practice squad expanded 10 -> 12 (permanent baseline), 17-game season authorized for a later season, playoff field expanded",More roster depth available for in-season injury replacement,QB availability,https://www.washingtonpost.com/sports/2020/03/15/nfl-completes-new-cba/,"Ratified by a 1,019-959 player vote in March 2020. The 17th game's actual first season was 2021 (separate row below); practice squads were also temporarily bumped to 16 for COVID-19 season 2020 alone (see the covid row), on top of this permanent 12."
2021,schedule_structure,"17th regular-season game added (18-week regular season, one bye week)",More games per team per season; more short-week/international-game slots to schedule,rest; coach fade,https://www.si.com/nfl/2020/03/15/nfl-cba-approved-players-vote-17-game-regular-season-expansion,Authorized by the 2020 CBA; 2021 was the first season actually played at 17 games.
2022,overtime,Playoff overtime rule change: both teams guaranteed at least one possession unless the first team's opening drive scores a TD,Removes the pure sudden-death-on-a-field-goal outcome specifically in the postseason,market_structure,https://cbssports.com/nfl/news/nfl-owners-approve-new-overtime-rules-for-playoffs-ensuring-each-team-gets-a-possession/amp,"Adopted at the March 2022 owners' meeting, 29-3, directly in response to the January 2022 Bills-Chiefs divisional-round game. Playoffs only; the regular season kept the 2012 rule until 2025 (separate row below)."
2022,roster_cba,"Practice squad expanded again, 12 -> 14",Further roster-depth increase for in-season injury replacement,QB availability,https://www.rosecrete.com/blog/10-biggest-changes-to-the-nfls-collective-bargaining-agreement,"Reported, unverified beyond this secondary summary of the 2020 CBA's phase-in schedule."
2023,kickoff,Fair catch anywhere behind a team's own 25-yard line on a kickoff is placed at the 25 (one-year trial),"Gives the receiving team a touchback-quality outcome without needing the ball to reach the end zone, cutting live returns further",kicking,https://www.cbssports.com/nfl/news/nfl-approves-one-year-trial-run-for-new-fair-catch-rule-that-could-have-dramatic-impact-on-kickoff-returns/,Reported: the league's own model predicted the return rate would drop from 38% to 31% (unverified primary data). Direct precursor to the 2024 dynamic-kickoff overhaul below.
2023,meta_game,"""Tush push"" (quarterback sneak with backfield push) proliferation, associated with the Philadelphia Eagles; a 2025 proposal to ban the play failed on a 16-16 owners' vote","Raises short-yardage / 4th-and-1 conversion rates for teams that adopt the play with a mobile, strong offensive line",coach fade,https://www.nbcphiladelphia.com/news/sports/nfl/nfl-owners-rule-changes-overtime-rules-kickoff-touchback-tush-push-2025/4148635/,"Not a rule change (the ban proposal was tabled, not passed) and not primarily a rule-driven event; season_effective=2023 is an approximate midpoint for when the play's league-wide usage became widely discussed, not a measured inflection point. Fuzzy boundary by construction."
2024,kickoff,"""Dynamic kickoff"": new setup alignment, a 20-yard ""landing zone,"" and restricted player movement until the ball is touched, explicitly modeled on the XFL kickoff","Redesigns the kickoff from a high-speed collision play into something closer to a scrimmage play, aimed at raising the live-return rate while cutting injuries",kicking; home advantage,https://operations.nfl.com/updates/the-game/dynamic-kickoff-back-and-better-in-second-season/,"Reported (NFL Football Operations): kickoff return rate rose from 21.8% in 2023 to 32.8% in 2024, a full-season figure (unverified primary count by this agent). The 2023 season had the lowest kickoff-return rate in NFL history immediately before this change."
2025,kickoff,Dynamic kickoff made permanent; touchback spot on kickoffs moved to the 35-yard line,"Raises the incentive to kick for a live return rather than take a touchback, versus the 2024 rule's touchback spot",kicking,https://www.therams.com/news/2025-nfl-rule-bylaw-resolution-changes-owners-approve-expanded-replay-alignment-of-regular-season-and-overtime-rules-permanent-dynamic-kickoff-with-touchbacks-to-the-35-yard-line,Read directly (fetched 2026-08-19) from this team-site republication of the owners'-meeting rules summary.
2025,overtime,"Regular-season overtime rules aligned with the playoff format: both teams get a possession regardless of the first result, 10-minute period, then sudden death",Ends the 2012-2024 regular-season rule where a first-drive touchdown ended the game immediately,market_structure; home advantage,https://www.therams.com/news/2025-nfl-rule-bylaw-resolution-changes-owners-approve-expanded-replay-alignment-of-regular-season-and-overtime-rules-permanent-dynamic-kickoff-with-touchbacks-to-the-35-yard-line,Proposed by the Philadelphia Eagles; passed at the 2025 Annual Meeting. Read directly (fetched 2026-08-19) from this republication.
